"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 16:54:32 UTC 2023","Sun Dec 17 16:54:34 UTC 2023","1755","","Test login page","","","","Password is required",""
"passed","Sun Dec 17 16:54:53 UTC 2023","Sun Dec 17 16:54:58 UTC 2023","5388","","Test main page","","","","Phone number is required in user profile",""
"passed","Sun Dec 17 16:54:37 UTC 2023","Sun Dec 17 16:54:39 UTC 2023","2377","","Test login page","","","","Invalid password",""
"passed","Sun Dec 17 16:54:39 UTC 2023","Sun Dec 17 16:54:43 UTC 2023","4246","","Test login page","","","","Succesful login",""
"passed","Sun Dec 17 16:54:31 UTC 2023","Sun Dec 17 16:54:32 UTC 2023","1585","","Test login page","","","","Username is required",""
"passed","Sun Dec 17 16:54:14 UTC 2023","Sun Dec 17 16:54:22 UTC 2023","8836","","Test main page","","","","Logout",""
"passed","Sun Dec 17 16:54:39 UTC 2023","Sun Dec 17 16:54:39 UTC 2023","3","","Test login page","","","","""before each"" hook for Test login page",""
"passed","Sun Dec 17 16:54:35 UTC 2023","Sun Dec 17 16:54:37 UTC 2023","2317","","Test register page","","","","Username is required",""
"passed","Sun Dec 17 16:54:27 UTC 2023","Sun Dec 17 16:54:32 UTC 2023","5219","","Test main page","","","","Lastname is required in user profile",""
"passed","Sun Dec 17 16:54:45 UTC 2023","Sun Dec 17 16:54:45 UTC 2023","0","","Test register page","","","","""before each"" hook for Test register page",""
"broken","Sun Dec 17 16:54:14 UTC 2023","Sun Dec 17 16:54:31 UTC 2023","17078","","Test register page","","","","Login link",""
"passed","Sun Dec 17 16:54:31 UTC 2023","Sun Dec 17 16:54:32 UTC 2023","1837","","Test register page","","","","First name is required",""
"passed","Sun Dec 17 16:54:32 UTC 2023","Sun Dec 17 16:54:41 UTC 2023","8264","","Test main page","","","","Email is required in user profile",""
"passed","Sun Dec 17 16:54:53 UTC 2023","Sun Dec 17 16:54:56 UTC 2023","2580","","Test main page","","","","""before each"" hook for Test main page",""
"passed","Sun Dec 17 16:54:43 UTC 2023","Sun Dec 17 16:54:45 UTC 2023","1633","","Test register page","","","","Password and password confirmation should match",""
"passed","Sun Dec 17 16:54:41 UTC 2023","Sun Dec 17 16:54:48 UTC 2023","7533","","Test main page","","","","Email is validated in user profile",""
"broken","Sun Dec 17 16:54:13 UTC 2023","Sun Dec 17 16:54:31 UTC 2023","17172","","Test login page","","","","Register link",""
"passed","Sun Dec 17 16:54:37 UTC 2023","Sun Dec 17 16:54:40 UTC 2023","2532","","Test register page","","","","Password is required",""
"passed","Sun Dec 17 16:54:34 UTC 2023","Sun Dec 17 16:54:37 UTC 2023","2573","","Test login page","","","","Invalid username",""
"passed","Sun Dec 17 16:54:40 UTC 2023","Sun Dec 17 16:54:43 UTC 2023","3135","","Test register page","","","","Password confirmation is required",""
"passed","Sun Dec 17 16:54:45 UTC 2023","Sun Dec 17 16:54:51 UTC 2023","6692","","Test register page","","","","Register with valid data",""
"passed","Sun Dec 17 16:54:22 UTC 2023","Sun Dec 17 16:54:27 UTC 2023","4749","","Test main page","","","","Firstname is required in user profile",""
"passed","Sun Dec 17 16:54:32 UTC 2023","Sun Dec 17 16:54:35 UTC 2023","2626","","Test register page","","","","Last name is required",""
"passed","Sun Dec 17 16:54:51 UTC 2023","Sun Dec 17 16:54:51 UTC 2023","1","","Test register page","","","","""after all"" hook for Test register page",""
"passed","Sun Dec 17 16:54:43 UTC 2023","Sun Dec 17 16:54:43 UTC 2023","2","","Test login page","","","","""after all"" hook for Test login page",""
